group,count,frac_is_OE,frac_interior(nb==0),frac_nb==1,frac_nb>=2,mean_layer,mean_radius_ratio,mean_aspect,mean_n_tri_nbrs
always (pf==1),4854,0.7095179233621756,0.853522867737948,0.1330861145447054,0.013391017717346519,6.391635764318088,0.9128190374191162,1.3494917038138903,2.8401318500206014
frequent (pf>=0.5),5404,0.7366765358993338,0.8454848260547743,0.1376757957068838,0.01683937823834197,6.185418208734271,0.9107611404692312,1.3551046617587486,2.8286454478164322
swing (0<pf<1),4889,0.26038044589895687,0.9464103088566169,0.0462262221313152,0.0073634690120679075,3.640212722438126,0.9127224949406542,1.358474945212809,2.939046839844549
never (pf==0),88622,0.5217101848299519,0.9295321703414502,0.06954255151091152,0.000925278147638284,6.086096003249757,0.9265885854920819,1.3259315502533027,2.928606892193812
all,98365,0.5179891221471051,0.9266202409393585,0.07151934122909571,0.0018604178315457735,5.9796065673766075,0.925219920793743,1.3287116615056804,2.924759823107813
