seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
609,5535,92830,51950,0,17.37547755241394
610,5513,92852,51939,0,20.273223638534546
611,5543,92822,51954,0,17.17160654067993
612,5525,92840,51945,0,17.07990002632141
613,5543,92822,51954,0,17.209224224090576
614,5523,92842,51944,0,17.357064962387085
615,5531,92834,51948,0,17.553528308868408
616,5509,92856,51937,0,20.21560835838318
617,5517,92848,51941,0,17.482030868530273
618,5519,92846,51942,0,17.27788805961609
619,5533,92832,51949,0,17.14345955848694
620,5519,92846,51942,0,20.183269023895264
621,5527,92838,51946,0,17.448387622833252
622,5525,92840,51945,0,17.2825345993042
623,5545,92820,51955,0,17.12892436981201
624,5557,92808,51961,0,20.3759663105011
625,5521,92844,51943,0,17.38692617416382
626,5545,92820,51955,0,17.35103964805603
627,5519,92846,51942,0,17.054187536239624
628,5521,92844,51943,0,17.264147996902466
629,5521,92844,51943,0,19.850631952285767
630,5551,92814,51958,0,17.168212175369263
631,5515,92850,51940,0,17.019129037857056
632,5525,92840,51945,0,17.330535650253296
633,5521,92844,51943,0,20.12380051612854
634,5529,92836,51947,0,17.026081085205078
635,5553,92812,51959,0,17.112441778182983
636,5535,92830,51950,0,17.1463885307312
637,5523,92842,51944,0,17.21493411064148
638,5527,92838,51946,0,19.966469764709473
639,5543,92822,51954,0,17.211265325546265
640,5521,92844,51943,0,17.27962327003479
641,5525,92840,51945,0,17.09762954711914
642,5537,92828,51951,0,20.03357219696045
643,5523,92842,51944,0,17.448959350585938
644,5539,92826,51952,0,17.164798498153687
645,5541,92824,51953,0,17.13739776611328
646,5503,92862,51934,0,17.398651838302612
647,5553,92812,51959,0,20.06505036354065
648,5531,92834,51948,0,17.019726276397705
649,5525,92840,51945,0,16.849789142608643
650,5511,92854,51938,0,17.491509914398193
651,5513,92852,51939,0,19.910420417785645
652,5519,92846,51942,0,16.893465042114258
653,5517,92848,51941,0,16.885600328445435
654,5527,92838,51946,0,17.26348042488098
655,5531,92834,51948,0,17.10161781311035
