group,count,frac_is_OE,frac_interior(nb==0),frac_nb==1,frac_nb>=2,mean_layer,mean_radius_ratio,mean_aspect,mean_n_tri_nbrs
always (pf==1),4725,0.702010582010582,0.8622222222222222,0.12994708994708995,0.00783068783068783,6.511534391534392,0.914284683396314,1.3461681612004444,2.8543915343915343
frequent (pf>=0.5),5405,0.7367252543940795,0.845513413506013,0.13765032377428307,0.016836262719703978,6.189639222941721,0.9107616701764055,1.3550632150672113,2.828677150786309
swing (0<pf<1),6251,0.252439609662454,0.9339305711086227,0.05343145096784514,0.012637977923532235,3.7195648696208607,0.913005600657015,1.3571963234273037,2.9212925931850906
never (pf==0),87389,0.527034294934145,0.9295792376614905,0.06965407545572097,0.0007666868827884516,6.112508439277255,0.9266848730403362,1.3257302841843945,2.928812550778702
all,98365,0.5179891221471051,0.9266202409393585,0.07151934122909571,0.0018604178315457735,5.9796065673766075,0.925219920793743,1.3287116615056804,2.924759823107813
