group,area,perimeter,edge_min,edge_max,edge_mean,aspect_ratio,min_angle_deg,max_angle_deg,radius_ratio,n_boundary_edges,deg_mean,deg_max,deg_min,layer,is_IE,is_OE,n_tri_neighbours,size_ratio,bdy_dist,mean_valence,max_valence,min_valence,valence_irreg_mean,valence_irreg_max,n_irregular_verts,flow_disorder,flow_misalign,log_size_gradient,layer_flow_misalign,count
never,0.008458065186287196,0.27447253235584873,0.07914599043946052,0.10337449350676482,0.09149084411861622,1.3259315502533027,47.21627469385008,74.32938215576115,0.9265885854920818,0.07139310780618809,5.867444502117609,6.484326690889396,5.270892103540882,6.086096003249757,0.4782898151700481,0.5217101848299519,2.928606892193812,0.9902388559257607,0.45898252555581454,5.9414517087555385,6.4952720543431655,5.40659204260793,0.3563674933989303,0.7140100652208256,1.0175238654058811,0.2651786168540852,0.43940343985234936,0.0774361481217203,0.5819086121162159,88622
swing,0.00526105783372853,0.22472816676010487,0.06384478525949513,0.08573754145832427,0.07490938892003493,1.358474945212809,46.15510024686151,76.00559482282777,0.9127224949406542,0.06095316015545101,5.805277152791982,6.437103702188587,5.1292697893229695,3.640212722438126,0.7396195541010432,0.26038044589895687,2.939046839844549,0.9532046159057024,0.26347562605943836,5.887229835685553,6.4514215586009405,5.303538555941911,0.36653712415626916,0.7068930251585192,1.0431581100429537,0.2691099577645376,0.48706937813869144,0.07997764996374193,0.5134729197399478,4889
always,0.009248461778289198,0.29377613871316305,0.08437294243554037,0.11171748798019328,0.09792537957105432,1.3494917038138903,46.54312399887827,76.17163209112482,0.9128190374191162,0.15986814997939844,5.720574096964703,6.57869798104656,4.96209311907705,6.391635764318088,0.2904820766378245,0.7095179233621756,2.8401318500206014,0.9492035163920317,0.478714802398674,5.823993956874056,6.594973217964565,5.1100123609394315,0.45811014970471087,0.8537288833951381,1.3014009064688916,0.2863291102296415,0.5265140154922883,0.0858961701524475,0.566723167836845,4854
