feature,spearman,spearman_p,pearson,pearson_p
size_ratio,-0.1145540047419308,1.590348844714548e-284,-0.08648952901699575,1.2325087305164443e-162
bdy_dist,-0.06429163048338306,1.338782241331411e-90,0.0009148409136274108,0.7741737650493613
layer,-0.059251493781143465,3.2573455211132197e-77,0.00502821714695768,0.11479564568661971
flow_misalign,0.05785331892412806,1.0775113210889233e-73,0.05836472853434188,5.686345793680514e-75
min_valence,-0.056603302537300726,1.281793182852468e-70,-0.09747425022431083,3.2119139252549395e-206
deg_min,-0.05499668969423715,9.159628721390247e-67,-0.07650777024949715,1.3447282638494927e-127
n_irregular_verts,0.05417731987673017,7.66888309053956e-65,0.07997555536507175,2.8016111229036964e-139
valence_irreg_mean,0.053867109377770964,4.028951586333148e-64,0.07919874370088328,1.2867901067193494e-136
max_angle_deg,0.04893731384157528,3.164284816995061e-53,0.05370048034270626,9.783172167893924e-64
radius_ratio,-0.04723467866048772,1.049830628256686e-49,-0.051610170365223834,5.278727808640986e-59
aspect_ratio,0.042688041381343036,6.531616206848218e-41,0.033421472554343745,1.0142013901269438e-25
layer_flow_misalign,-0.04211727064007073,7.1869787867656846e-40,-0.01189234346580766,0.00019155322981254905
valence_irreg_max,0.04031329776906379,1.1400367705547254e-36,0.0623710738851964,2.2733064547926735e-85
min_angle_deg,-0.03994567375046898,4.9212192864408645e-36,-0.030235425472128055,2.427476698078523e-21
n_tri_neighbours,-0.037929779958690756,1.1817489256823342e-32,-0.08455356455396831,1.6806352804633586e-155
n_boundary_edges,0.037929779958690756,1.1817489256823342e-32,0.08455356455396829,1.6806352804633586e-155
mean_valence,-0.03544661743921426,9.96614409531082e-29,-0.0643448262245064,9.540823393363148e-91
deg_mean,-0.03354348143892909,6.75867154934016e-26,-0.06058036792064435,1.2295618126377089e-80
max_valence,0.019938828752645608,4.0008145486148845e-10,0.038405455827050225,1.952009404069782e-33
deg_max,0.01990291219020093,4.300039370317261e-10,0.03321548393454933,2.0057407606437985e-25
flow_disorder,0.018924342992633587,2.925325716368025e-09,0.02292646280148999,6.416554744321167e-13
log_size_gradient,0.016957015847976868,1.0458212031037128e-07,0.034746999746563395,1.1409488590266985e-27
is_IE,0.013336615200667694,2.8778680223249365e-05,-0.10088555450509268,7.855182960755781e-221
is_OE,-0.013336615200667694,2.8778680223249365e-05,0.10088555450509268,7.855182960755781e-221
edge_min,-0.011626708732679769,0.00026574939009829044,0.007390221224048558,0.0204595577260165
area,-0.009852774123837688,0.0020003489673414182,0.002613922594443526,0.4123297761238037
perimeter,-0.007741945428688377,0.015177028935768165,0.008590285733143356,0.007055706466683912
edge_mean,-0.007741945428688377,0.015177028935768165,0.008590285733143351,0.007055706466685387
edge_max,-0.0032747171014197245,0.3043989870344217,0.010722640258156392,0.0007709575415323943
